"banter_asset_id","blueprint","category","group","line_index","role","speaker_name","speaker_guid","text_key","text","json_path","source"
"c998c3e260f9c074baae9f695b0b1a40","Banter_ArueshalaeArueshalae_banter1","Banter","ArueshalaeArueshalae","0","FirstPhrase","Arueshalae","a352873d37ec6c54c9fa8f6da3a6b3e1","934c38f2-710a-480a-adc6-7cd22cf39224","""Good night, Arueshalae.""","Strings/Mechanics/Blueprints/World/Dialogs/Barkobanters/Banter/ArueshalaeArueshalae/Banter_ArueshalaeArueshalae_banter1_FirstPhrase.Array.data[0].json","WOTR_Blueprints\World\Dialogs\Barkobanters\Banter\ArueshalaeArueshalae\Banter_ArueshalaeArueshalae_banter1.jbp"
"c998c3e260f9c074baae9f695b0b1a40","Banter_ArueshalaeArueshalae_banter1","Banter","ArueshalaeArueshalae","1","Response","Arueshalae","a352873d37ec6c54c9fa8f6da3a6b3e1","543494ba-e889-456c-839b-fa6ce6463da2","""I hope you have a dream tonight. Any dream.""","Strings/Mechanics/Blueprints/World/Dialogs/Barkobanters/Banter/ArueshalaeArueshalae/Banter_ArueshalaeArueshalae_banter1_Responses.Array.data[0].Response.json","WOTR_Blueprints\World\Dialogs\Barkobanters\Banter\ArueshalaeArueshalae\Banter_ArueshalaeArueshalae_banter1.jbp"
"d6b025e926da0b94b8c3ebedc59451cc","Banter_ArueshalaeArueshalae_banter2","Banter","ArueshalaeArueshalae","0","FirstPhrase","Arueshalae","a352873d37ec6c54c9fa8f6da3a6b3e1","6f47a8b1-6ee7-4e0a-9bd3-72073ded7601","""It's so wonderful not to be alone anymore.""","Strings/Mechanics/Blueprints/World/Dialogs/Barkobanters/Banter/ArueshalaeArueshalae/Banter_ArueshalaeArueshalae_banter2_FirstPhrase.Array.data[0].json","WOTR_Blueprints\World\Dialogs\Barkobanters\Banter\ArueshalaeArueshalae\Banter_ArueshalaeArueshalae_banter2.jbp"
"d6b025e926da0b94b8c3ebedc59451cc","Banter_ArueshalaeArueshalae_banter2","Banter","ArueshalaeArueshalae","1","Response","Arueshalae","a352873d37ec6c54c9fa8f6da3a6b3e1","656884e4-22ae-4132-b08f-a3cb7c7248d3","""Desna, patroness of travelers! I thank you for bringing our paths together.""","Strings/Mechanics/Blueprints/World/Dialogs/Barkobanters/Banter/ArueshalaeArueshalae/Banter_ArueshalaeArueshalae_banter2_Responses.Array.data[0].Response.json","WOTR_Blueprints\World\Dialogs\Barkobanters\Banter\ArueshalaeArueshalae\Banter_ArueshalaeArueshalae_banter2.jbp"
"573622f8b65307c48bcd974701d1f772","Banter_ArueshalaeArueshalae_banter3","Banter","ArueshalaeArueshalae","0","FirstPhrase","Arueshalae","a352873d37ec6c54c9fa8f6da3a6b3e1","16a98617-7767-4d94-9fe9-c4f66512946f","""I still cannot dream, Desna. I have not earned the right. I have not solved your riddle.""","Strings/Mechanics/Blueprints/World/Dialogs/Barkobanters/Banter/ArueshalaeArueshalae/Banter_ArueshalaeArueshalae_banter3_FirstPhrase.Array.data[0].json","WOTR_Blueprints\World\Dialogs\Barkobanters\Banter\ArueshalaeArueshalae\Banter_ArueshalaeArueshalae_banter3.jbp"
"573622f8b65307c48bcd974701d1f772","Banter_ArueshalaeArueshalae_banter3","Banter","ArueshalaeArueshalae","1","Response","Arueshalae","a352873d37ec6c54c9fa8f6da3a6b3e1","fa30521c-8ace-49de-b07f-f7d7a9a06ceb","""Well, I can at least stand watch over my friends and guard their slumber.""","Strings/Mechanics/Blueprints/World/Dialogs/Barkobanters/Banter/ArueshalaeArueshalae/Banter_ArueshalaeArueshalae_banter3_Responses.Array.data[0].Response.json","WOTR_Blueprints\World\Dialogs\Barkobanters\Banter\ArueshalaeArueshalae\Banter_ArueshalaeArueshalae_banter3.jbp"
"4868899fba735e0409ae0f7e0d460285","Banter_ArueshalaeArueshalae_banter4_pack2","Banter","ArueshalaeArueshalae","0","FirstPhrase","Arueshalae","a352873d37ec6c54c9fa8f6da3a6b3e1","d24a3c61-d9c6-4520-a985-f2238154b975","""What's this — a butterfly? How did it get here?""","Strings/Mechanics/Blueprints/World/Dialogs/Barkobanters/Banter/ArueshalaeArueshalae/Banter_ArueshalaeArueshalae_banter4_pack2_FirstPhrase.Array.data[0].json","WOTR_Blueprints\World\Dialogs\Barkobanters\Banter\ArueshalaeArueshalae\Banter_ArueshalaeArueshalae_banter4_pack2.jbp"
"4868899fba735e0409ae0f7e0d460285","Banter_ArueshalaeArueshalae_banter4_pack2","Banter","ArueshalaeArueshalae","1","Response","Arueshalae","a352873d37ec6c54c9fa8f6da3a6b3e1","7f8dbc47-dc3a-400d-a021-c418abc7eada","""Could it be? Is the goddess watching over me?""","Strings/Mechanics/Blueprints/World/Dialogs/Barkobanters/Banter/ArueshalaeArueshalae/Banter_ArueshalaeArueshalae_banter4_pack2_Responses.Array.data[0].Response.json","WOTR_Blueprints\World\Dialogs\Barkobanters\Banter\ArueshalaeArueshalae\Banter_ArueshalaeArueshalae_banter4_pack2.jbp"
"1fbc2d3e34ba9584e84efbface975795","Banter_ArueshalaeArueshalae_banter5_pack2","Banter","ArueshalaeArueshalae","0","FirstPhrase","Arueshalae","a352873d37ec6c54c9fa8f6da3a6b3e1","1091ad58-35aa-4fd8-977d-595783c38557","""When I feel like I'm struggling with the desire to do evil, I look at the stars or the clouds.""","Strings/Mechanics/Blueprints/World/Dialogs/Barkobanters/Banter/ArueshalaeArueshalae/Banter_ArueshalaeArueshalae_banter5_pack2_FirstPhrase.Array.data[0].json","WOTR_Blueprints\World\Dialogs\Barkobanters\Banter\ArueshalaeArueshalae\Banter_ArueshalaeArueshalae_banter5_pack2.jbp"
"1fbc2d3e34ba9584e84efbface975795","Banter_ArueshalaeArueshalae_banter5_pack2","Banter","ArueshalaeArueshalae","1","Response","Arueshalae","a352873d37ec6c54c9fa8f6da3a6b3e1","12b06996-8c2d-4666-af18-c8cfa31ce842","""I like it when clouds are in the shape of something else. Like a castle, a mountain... a fat, fluffy rabbit!""","Strings/Mechanics/Blueprints/World/Dialogs/Barkobanters/Banter/ArueshalaeArueshalae/Banter_ArueshalaeArueshalae_banter5_pack2_Responses.Array.data[0].Response.json","WOTR_Blueprints\World\Dialogs\Barkobanters\Banter\ArueshalaeArueshalae\Banter_ArueshalaeArueshalae_banter5_pack2.jbp"
"4ca00da6e0872b449b047c82d9333adb","Banter_ArueshalaeCamelia_banter1","Banter","ArueshalaeCamelia","0","FirstPhrase","Arueshalae","a352873d37ec6c54c9fa8f6da3a6b3e1","6e02ea0b-859a-44f3-9ba9-054ae92c9849","""If you ever feel like the world outside the walls of your mansion is alien and incomprehensible, come and talk to me. I know all about deception and betrayal, I can protect you.""","Strings/Mechanics/Blueprints/World/Dialogs/Barkobanters/Banter/ArueshalaeCamelia/Banter_ArueshalaeCamelia_banter1_FirstPhrase.Array.data[0].json","WOTR_Blueprints\World\Dialogs\Barkobanters\Banter\ArueshalaeCamelia\Banter_ArueshalaeCamelia_banter1.jbp"
"4ca00da6e0872b449b047c82d9333adb","Banter_ArueshalaeCamelia_banter1","Banter","ArueshalaeCamelia","1","Response","Camellia","397b090721c41044ea3220445300e1b8","ab7c01df-e285-401a-958e-71990140b601","""You wish to be my friend? How charming... I would simply love to share girlish confidences with you... And hear all about the deep, dark secrets of your past.""","Strings/Mechanics/Blueprints/World/Dialogs/Barkobanters/Banter/ArueshalaeCamelia/Banter_ArueshalaeCamelia_banter1_Responses.Array.data[0].Response.json","WOTR_Blueprints\World\Dialogs\Barkobanters\Banter\ArueshalaeCamelia\Banter_ArueshalaeCamelia_banter1.jbp"
"1bd4ec1d7f50d4148bf69c2878b81b58","Banter_ArueshalaeCamelia_banter2","Banter","ArueshalaeCamelia","0","FirstPhrase","Arueshalae","a352873d37ec6c54c9fa8f6da3a6b3e1","b3fff62d-0764-41b5-ab31-6b2257576f3e","""Am I imagining things, or did I see a vicious gleam in your eyes? Where did that come from?""","Strings/Mechanics/Blueprints/World/Dialogs/Barkobanters/Banter/ArueshalaeCamelia/Banter_ArueshalaeCamelia_banter2_FirstPhrase.Array.data[0].json","WOTR_Blueprints\World\Dialogs\Barkobanters\Banter\ArueshalaeCamelia\Banter_ArueshalaeCamelia_banter2.jbp"
"1bd4ec1d7f50d4148bf69c2878b81b58","Banter_ArueshalaeCamelia_banter2","Banter","ArueshalaeCamelia","1","Response","Camellia","397b090721c41044ea3220445300e1b8","252ec8a7-24ea-4ef7-916a-3927ad25528d","""You're mistaken. How could a young lady who has spent her life cloistered and wanting for nothing have even an ounce of viciousness in her?""","Strings/Mechanics/Blueprints/World/Dialogs/Barkobanters/Banter/ArueshalaeCamelia/Banter_ArueshalaeCamelia_banter2_Responses.Array.data[0].Response.json","WOTR_Blueprints\World\Dialogs\Barkobanters\Banter\ArueshalaeCamelia\Banter_ArueshalaeCamelia_banter2.jbp"
"0d91bf4618ebe554ebf3e9e8a7c41bc7","Banter_ArueshalaeCamelia_banter3","Banter","ArueshalaeCamelia","0","FirstPhrase","Arueshalae","a352873d37ec6c54c9fa8f6da3a6b3e1","7c418d2e-a236-43c8-94e0-f9cde03ddea6","""Sometimes I watch you in combat and I get the impression that fighting demons brings you pleasure. Do you truly enjoy it?""","Strings/Mechanics/Blueprints/World/Dialogs/Barkobanters/Banter/ArueshalaeCamelia/Banter_ArueshalaeCamelia_banter3_FirstPhrase.Array.data[0].json","WOTR_Blueprints\World\Dialogs\Barkobanters\Banter\ArueshalaeCamelia\Banter_ArueshalaeCamelia_banter3.jbp"
"0d91bf4618ebe554ebf3e9e8a7c41bc7","Banter_ArueshalaeCamelia_banter3","Banter","ArueshalaeCamelia","1","Response","Camellia","397b090721c41044ea3220445300e1b8","548b36f4-9b7e-4f94-8eac-b3448b9a9f29","""Of course I do. I am defending my home, fulfilling my duty. I feel the thrill of righteousness. No need to fret over it, you wouldn't understand.""","Strings/Mechanics/Blueprints/World/Dialogs/Barkobanters/Banter/ArueshalaeCamelia/Banter_ArueshalaeCamelia_banter3_Responses.Array.data[0].Response.json","WOTR_Blueprints\World\Dialogs\Barkobanters\Banter\ArueshalaeCamelia\Banter_ArueshalaeCamelia_banter3.jbp"
"da0cd9f8bb20d4340abb13efdd335637","Banter_ArueshalaeCamelia_banter4_pack2","Banter","ArueshalaeCamelia","0","FirstPhrase","Arueshalae","a352873d37ec6c54c9fa8f6da3a6b3e1","c3484c3f-9264-45f0-91a7-d5b8ec5fb00d","""The word 'friend' is so unfamiliar. There is no real friendship in the Abyss. I would love to call someone my friend...""","Strings/Mechanics/Blueprints/World/Dialogs/Barkobanters/Banter/ArueshalaeCamelia/Banter_ArueshalaeCamelia_banter4_pack2_FirstPhrase.Array.data[0].json","WOTR_Blueprints\World\Dialogs\Barkobanters\Banter\ArueshalaeCamelia\Banter_ArueshalaeCamelia_banter4_pack2.jbp"
"da0cd9f8bb20d4340abb13efdd335637","Banter_ArueshalaeCamelia_banter4_pack2","Banter","ArueshalaeCamelia","1","Response","Camellia","397b090721c41044ea3220445300e1b8","93f8a5aa-1583-4bbc-b836-303c4b4c5a05","""We have so much in common, Arueshalae. I have spent my entire life in seclusion and have never had anyone to call a friend either. Not a single soul.""","Strings/Mechanics/Blueprints/World/Dialogs/Barkobanters/Banter/ArueshalaeCamelia/Banter_ArueshalaeCamelia_banter4_pack2_Responses.Array.data[0].Response.json","WOTR_Blueprints\World\Dialogs\Barkobanters\Banter\ArueshalaeCamelia\Banter_ArueshalaeCamelia_banter4_pack2.jbp"
