"cue_asset_id","cue","category","group","companion","speaker_guid","text_key","text","comment","json_path","source","has_audio","audio_event"
"3a52af44f62d6cf49b365b71f722b950","","c0","AngelMythicMiracle","Lann","cb29621d99b902e4da6f5d232352fbda","2a7ff185-7910-46d1-9293-7e1f69ae73c3","{n}Lann looks at you, dumbfounded.{/n} ""That... that was it! The Light of {g|Heaven}Heaven{/g}! But how...""","","Strings/Mechanics/Blueprints/World/Dialogs/c0/CavesUnderKenabres/AngelMythicMiracle/Cue_0001_Text.json","WOTR_Blueprints\World\Dialogs\c0\CavesUnderKenabres\AngelMythicMiracle\Cue_0001.jbp","yes","CH0_AngelMythicMiracle_01"
"2fc100a0ad52a9a4ab86d201ace2fd30","","c0","AngelMythicMiracle","Lann","cb29621d99b902e4da6f5d232352fbda","b33c0dd3-de5e-4936-afbd-aad2a6f63811","{n}Lann huffs an impatient sigh, but for once he says nothing.{/n}","Ланн","Strings/Mechanics/Blueprints/World/Dialogs/c0/CavesUnderKenabres/AngelMythicMiracle/Cue_0025_Text.json","WOTR_Blueprints\World\Dialogs\c0\CavesUnderKenabres\AngelMythicMiracle\Cue_0025.jbp","yes","CH0_AngelMythicMiracle_12"
"8f50ed16b63df9c45b346304ee8b98e1","","c0","AngelMythicMiracle","Lann","cb29621d99b902e4da6f5d232352fbda","ffc466c0-5485-4984-a523-51379749a61b","{n}The mongrel looks at you questioningly.{/n}","","Strings/Mechanics/Blueprints/World/Dialogs/c0/CavesUnderKenabres/AngelMythicMiracle/Cue_0024_Text.json","WOTR_Blueprints\World\Dialogs\c0\CavesUnderKenabres\AngelMythicMiracle\Cue_0024.jbp","no",""
"83297841d070c3548834b859f493b948","","c0","AngelMythicMiracle","Lann","cb29621d99b902e4da6f5d232352fbda","5003d905-ed96-4885-ad22-73baa4ba0369","""Yes, it's similar... but this light is more... golden."" {n}Lann drags his gaze away from it.{/n} ""Chief Sull needs to see this. Now that we have the power of angels on our side, he can't say no. He'll have to assemble a troop to storm the Maze."" {n}Lann looks at you pleadingly.{/n} ""You uplanders care about your kids, right? Help us save ours. Without them, we won't survive. And then... the perils of the Maze won't be so bad if we go together, we'll make our way through it and find the way to {g|Kenabres}Kenabres{/g}.""","Ланн","Strings/Mechanics/Blueprints/World/Dialogs/c0/CavesUnderKenabres/AngelMythicMiracle/Cue_0022_Text.json","WOTR_Blueprints\World\Dialogs\c0\CavesUnderKenabres\AngelMythicMiracle\Cue_0022.jbp","yes","CH0_AngelMythicMiracle_11"
"4e9ff388e5d4a7146b72946a4143e66a","","c0","AngelMythicMiracle","Lann","cb29621d99b902e4da6f5d232352fbda","6d21936c-ec4a-4f41-a4a7-6f84ea25aee1","""I know you're willing to tear anyone apart to uphold our people's honor, but... you and Sull, you just refuse to face the truth: we are the way we are because our ancestors' bodies were corrupted by the {g|Abyss}Abyss{/g}. It does the same thing to plants and animals, there's nothing heroic or special about it. It doesn't make us better and it doesn't make us worthier.""","Ланн","Strings/Mechanics/Blueprints/World/Dialogs/c0/CavesUnderKenabres/AngelMythicMiracle/Cue_0016_Text.json","WOTR_Blueprints\World\Dialogs\c0\CavesUnderKenabres\AngelMythicMiracle\Cue_0016.jbp","yes","CH0_AngelMythicMiracle_08"
"cb93ccac1f6068940b132cbdc2d09e86","","c0","AngelMythicMiracle","Lann","cb29621d99b902e4da6f5d232352fbda","fe2a4b39-4f7f-40d6-be0a-f3475de06f61","""Now, now, Wenduag, don't be a sore loser."" {n}Lann nods toward you.{/n} ""{mf|He|She} is clearly different from us — the sword appeared before {mf|him|her}, along with the angel's name, and all that other stuff. Because {mf|he|she} doesn't carry our mongrel taint. {g|Heaven}Heaven{/g} doesn't give a damn how special we are. We're born with evil inside us, Heaven doesn't need to know any more than that.""","Ланн","Strings/Mechanics/Blueprints/World/Dialogs/c0/CavesUnderKenabres/AngelMythicMiracle/Cue_0015_Text.json","WOTR_Blueprints\World\Dialogs\c0\CavesUnderKenabres\AngelMythicMiracle\Cue_0015.jbp","yes","CH0_AngelMythicMiracle_07"
"a9cf47cb456717e43b17e724d02e29d7","","c0","AngelMythicMiracle","Lann","cb29621d99b902e4da6f5d232352fbda","73a509a5-e626-4ba4-b239-e797aa323dec","""Lariel? That really was Lariel? The {g|angel}angel{/g} from the legends? The ancestors even got his name right on the gravestone — the Chief will be thrilled.""","Ланн","Strings/Mechanics/Blueprints/World/Dialogs/c0/CavesUnderKenabres/AngelMythicMiracle/Cue_0026_Text.json","WOTR_Blueprints\World\Dialogs\c0\CavesUnderKenabres\AngelMythicMiracle\Cue_0026.jbp","yes","CH0_AngelMythicMiracle_13"
"b02da5f8627b91542b08ce8f8f8141ec","","c0","AngelMythicMiracle","Lann","cb29621d99b902e4da6f5d232352fbda","7c28c6c6-5458-4530-8cff-a630b13635e0","{n}Lann rubs his chin anxiously.{/n} ""Sorry, I crack jokes when I get nervous. And when I'm upset. And when I'm happy. Anyway, what I said, it came out wrong. We need to bring you to Chief Sull! You can show everyone the Light of Heaven, we'll rally the tribe and go into the Maze, and we'll get back our kin!""","Ланн","Strings/Mechanics/Blueprints/World/Dialogs/c0/CavesUnderKenabres/AngelMythicMiracle/Cue_0011_Text.json","WOTR_Blueprints\World\Dialogs\c0\CavesUnderKenabres\AngelMythicMiracle\Cue_0011.jbp","yes","CH0_AngelMythicMiracle_05"
"bb7942b1c836f554083fdd7199354dca","","c0","AngelMythicMiracle","Lann","cb29621d99b902e4da6f5d232352fbda","c0b99ae7-81a3-49ad-bca1-fd6009fb22e0","{n}Lann looks around.{/n} ""It's only us here. Your group, you, me, Wendu, and... the Light of Heaven, that sort of got... uh... sucked into you. Any chance you can whip it out again? We do kind of need it.""","Ланн","Strings/Mechanics/Blueprints/World/Dialogs/c0/CavesUnderKenabres/AngelMythicMiracle/Cue_0010_Text.json","WOTR_Blueprints\World\Dialogs\c0\CavesUnderKenabres\AngelMythicMiracle\Cue_0010.jbp","yes","CH0_AngelMythicMiracle_04"
"47073f3c3c7845242911f926d5d7e511","","c0","AngelMythicMiracle","Lann","cb29621d99b902e4da6f5d232352fbda","39f6f097-877d-490a-b657-08cbc9947bb6","""Let's go, we'll take the short route. Well, the only route, really.""","Ланн","Strings/Mechanics/Blueprints/World/Dialogs/c0/CavesUnderKenabres/AngelMythicMiracle/Cue_0003_Text.json","WOTR_Blueprints\World\Dialogs\c0\CavesUnderKenabres\AngelMythicMiracle\Cue_0003.jbp","yes","CH0_AngelMythicMiracle_02"
"563c720017185a34d9db4e99a8582062","","c0","AngelMythicMiracle","Seelah","54be53f0b35bf3c4592a97ae335fe765","ba4ade7e-ae1a-4bf5-a8a3-cda9b892a7a0","{n}Seelah kneels before the light, offering up a prayer to {g|Iomedae}Iomedae{/g}.{/n}","Сиила","Strings/Mechanics/Blueprints/World/Dialogs/c0/CavesUnderKenabres/AngelMythicMiracle/Cue_0027_Text.json","WOTR_Blueprints\World\Dialogs\c0\CavesUnderKenabres\AngelMythicMiracle\Cue_0027.jbp","no",""
"14004470c2db6604086e264efcbf27c5","","c0","AngelMythicMiracle","Seelah","54be53f0b35bf3c4592a97ae335fe765","ec121e21-dfb2-4565-9f34-998707db88fd","""That is just... wow... I mean, that's amazing! {g|Heaven}Heaven{/g} has truly blessed you, {name}.""","Сиила","Strings/Mechanics/Blueprints/World/Dialogs/c0/CavesUnderKenabres/AngelMythicMiracle/Cue_0029_Text.json","WOTR_Blueprints\World\Dialogs\c0\CavesUnderKenabres\AngelMythicMiracle\Cue_0029.jbp","yes","CH0_AngelMythicMiracle_16"
